TILENAME,RA_CENT,DEC_CENT
DES2107-1707,316.83059800,-17.11670400
DES2133-1332,323.46514000,-13.54725900
DES2232-1332,338.15153500,-13.54725900
DES0012-2458,3.19931400,-24.96948100
DES0008-2749,2.18001700,-27.82503700
DES2014-2915,303.63832700,-29.25281500
DES1901-4040,285.35419200,-40.67503700
DES2001-4249,300.30379400,-42.81670400
DES0331-7948,52.87733500,-79.80559300
DES2210-2832,332.69669800,-28.53892600
DES2329-3957,352.30504600,-39.96114800
DES2035-3457,308.97345800,-34.96392600
DES1913-5414,288.43723500,-54.23892600
DES1226-7205,186.54905800,-72.08614800
DES1929-7824,292.35369200,-78.41114800
DES0634-8432,98.52588100,-84.53614800
DES0544-0833,86.09314700,-8.55003700
DES0616-2749,94.20332600,-27.82503700
DES1611-6622,242.77535700,-66.37503700
DES1844-6248,281.24840100,-62.80559300
DES2128-6748,322.24047800,-67.80281500
DES1623-7742,245.92866400,-77.71392600
DES0604-8854,91.24065700,-88.90003700
DES0027-1707,6.87787600,-17.11670400
DES0011-2041,2.75484100,-20.68614800
DES1943-2749,295.98781300,-27.82503700
DES2341-2832,355.45030900,-28.53892600
DES2112-3040,318.16413800,-30.68059300
DES2318-3040,349.70713000,-30.68059300
DES0650-4831,102.56574600,-48.52781500
DES0630-5331,97.53366100,-53.52503700
DES1940-2249,295.13849200,-22.82781500
DES0619-2541,94.81830000,-25.68337000
DES2026-2206,306.59358700,-22.11392600
DES2117-2124,319.47165400,-21.40003700
DES2155-2541,328.86630400,-25.68337000
DES0645-3457,101.41826000,-34.96392600
DES1914-3832,288.68926400,-38.53337000
DES0811-5248,122.86764100,-52.81114800
DES0309-6748,47.27316400,-67.80281500
DES0411-6956,62.80270100,-69.94448100
DES1853-6456,283.42946300,-64.94725900
DES0811-7413,122.77110400,-74.22781500
DES1806-7537,271.59361300,-75.62225900
DES1956-7248,299.14180300,-72.80003700
DES2319-1541,349.89301300,-15.68892600
DES2124-2415,321.19771300,-24.25559300
DES2308-2249,347.03373300,-22.82781500
DES0003-3249,0.80027500,-32.82225900
DES2027-3415,306.95530200,-34.25003700
DES2033-3332,308.40184900,-33.53614800
DES1807-5205,271.75656400,-52.09725900
DES0026+2625,6.68017400,26.43051900
DES0231-6913,37.80380800,-69.23059300
DES2123-6705,320.84418300,-67.08892600
DES1901-5123,285.29477000,-51.38337000
DES0739-7742,114.86787500,-77.71392600
