TILENAME,RA_CENT,DEC_CENT
DES0857-2124,134.29110500,-21.40003700
DES1125+3000,171.36601400,29.99996300
DES1203-1958,180.84980000,-19.97225900
DES1304-3914,196.15908000,-39.24725900
DES1130+0543,172.57212800,5.72774100
DES0948+0001,147.01393600,0.01663000
DES1543-0250,235.93000900,-2.83892600
DES1419+0752,214.80115600,7.86940700
DES1011+1417,152.95325800,14.29440700
DES1536-0333,234.00756900,-3.55281500
DES1248-0915,192.03271500,-9.26392600
DES1622+2126,245.54556100,21.43329600
DES1441-0458,220.26933400,-4.98059300
DES1320-2249,200.03659000,-22.82781500
DES1520-1707,230.22318900,-17.11670400
DES1547-1415,236.88908700,-14.26114800
DES0951+0500,147.90512800,5.01385200
DES1048-2041,162.23965400,-20.68614800
DES1143-1749,175.96867900,-17.83059300
DES0821+2500,125.31782100,25.00274100
DES1336-3749,204.18964300,-37.81948100
DES1125+1209,171.31921800,12.15274100
DES1526+0252,231.65060100,2.87218500
DES0724+2251,111.01070200,22.86107400
DES0837-1707,129.38166000,-17.11670400
DES0906-1415,136.71309000,-14.26114800
DES0834-0707,128.67376000,-7.12225900
DES1205+0209,181.46963400,2.15829600
DES0758-0333,119.56540500,-3.55281500
DES1144+0709,176.17583900,7.15551900
DES1217+2625,184.45991000,26.43051900
DES1413-0041,213.42768800,-0.69725900
DES1252-0458,193.03873900,-4.98059300
DES1148-1415,177.22544200,-14.26114800
DES1546+1834,236.58787800,18.57774100
DES1054-1624,163.55504500,-16.40281500
DES1330-0541,202.68917100,-5.69448100
DES1439-1415,219.94755800,-14.26114800
DES1541-1415,235.41591100,-14.26114800
DES1600-1958,240.09631800,-19.97225900
DES1633-0915,248.45190300,-9.26392600
DES1111-2415,167.91272300,-24.25559300
DES1203+0626,180.81713700,6.44163000
DES1657-0750,254.41108700,-7.83614800
DES1117-2832,169.35290700,-28.53892600
DES1155+2625,178.87938000,26.43051900
DES1538+1043,234.69569100,10.72496300
DES0711+1543,107.82537700,15.72218500
DES1205+0001,181.28060400,0.01663000
DES1122-3415,170.64211000,-34.25003700
DES1252-2623,193.14892500,-26.39725900
DES1548+0209,237.19249900,2.15829600
DES0822-1332,125.74980000,-13.54725900
DES0821+2917,125.35545900,29.28607400
DES0904-1707,136.10442800,-17.11670400
DES1039-0416,159.82855800,-4.26670400
DES1152-1915,178.15949700,-19.25837000
DES1419-0124,214.92432700,-1.41114800
DES1117-3957,169.26829600,-39.96114800
DES0735+2208,113.85526100,22.14718500
DES0902+1209,135.53676900,12.15274100
DES1515+0626,228.95158500,6.44163000
DES1019-0750,154.96581200,-7.83614800
DES1220+0252,185.18945800,2.87218500
DES1528+0752,232.09737400,7.86940700
DES1420-1124,215.04759700,-11.40559300
DES1005-0124,151.36894200,-1.41114800
DES1414-0207,213.61094400,-2.12503700
DES1102-2332,165.74151200,-23.54170400
DES1436+0043,219.14142700,0.73051900
DES1426-3206,216.72230800,-32.10837000
DES0743+1543,115.98337200,15.72218500
DES1244+2751,191.15480900,27.85829600
DES1310-2458,197.71021200,-24.96948100
DES1003-1207,150.84259700,-12.11948100
DES1157+2000,179.38660200,20.00551900
DES1549+0500,237.48400800,5.01385200
DES1237-0833,189.32654300,-8.55003700
DES1039-3957,159.95444000,-39.96114800
DES1705+0209,256.48118300,2.15829600
DES1041+2751,160.47094600,27.85829600
DES1449+1043,222.34381300,10.72496300
DES1157-4706,179.27871500,-47.10003700
DES1032+2917,158.09560200,29.28607400
DES0950-0041,147.74504700,-0.69725900
DES1000+1626,150.20018400,16.43607400
DES1132-3914,173.11325800,-39.24725900
DES1036+1043,159.13126300,10.72496300
DES1119+0835,169.85725700,8.58329600
DES1204+2126,181.12369600,21.43329600
DES1259-0707,194.86225300,-7.12225900
DES0714+1543,108.56701300,15.72218500
DES1120-3957,170.19968100,-39.96114800
DES1052-4457,163.17910900,-44.95837000
DES1215-3206,183.85312300,-32.10837000
DES0942-1250,145.63626100,-12.83337000
DES1445-3040,221.29910500,-30.68059300
DES1425+0001,216.26116100,0.01663000
DES0819+2043,124.89462200,20.71940700
DES0819-1458,124.87201500,-14.97503700
DES1012-0707,153.13472400,-7.12225900
DES1137+1500,174.42448000,15.00829600
DES1254-0124,193.50116400,-1.41114800
DES1038-3832,159.58072400,-38.53337000
DES1300-2041,195.05231900,-20.68614800
DES1009-2832,152.28769800,-28.53892600
DES1248-1958,192.24336100,-19.97225900
DES1531-1624,232.76347500,-16.40281500
